ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
LAI CHACK MIDDLE SCHOOL,835460,818129,CO-ED,YAU TSIM MONG
JOCKEY CLUB EDUYOUNG COLLEGE,817989,835643,CO-ED,YUEN LONG
CONCORDIA LUTHERAN SCHOOL - NORTH POINT,838074,816226,CO-ED,EASTERN
ABERDEEN BAPTIST LUI MING CHOI COLLEGE,834057.1,811500.1,CO-ED,SOUTHERN
STFA LEE SHAU KEE COLLEGE,830880,824636,CO-ED,KWAI TSING
LAI KING CATHOLIC SECONDARY SCHOOL,831140,823742,CO-ED,KWAI TSING
SPHRC KUNG YIK SHE SECONDARY SCHOOL,818419,835664,CO-ED,YUEN LONG
HKTA CHING CHUNG SECONDARY SCHOOL,842027,819464,CO-ED,KWUN TONG
BAPTIST LUI MING CHOI SECONDARY SCHOOL,837962,827296,CO-ED,SHA TIN
SMKMCF MA KO PAN MEM COLLEGE,815357,829077,CO-ED,TUEN MUN
CARMEL PAK U SECONDARY SCHOOL,835687,835048,CO-ED,TAI PO
YCH LIM POR YEN SECONDARY SCHOOL,828901,826713,CO-ED,TSUEN WAN
WONG SHIU CHI SECONDARY SCHOOL,835712,834073,CO-ED,TAI PO
SHA TIN METHODIST COLLEGE,837261,825829,CO-ED,SHA TIN
FUNG KAI NO.1 SECONDARY SCHOOL,831142,841316,CO-ED,NORTH
CHRISTIAN ALLIANCE CHENG WING GEE COLL,836147,825860,CO-ED,SHA TIN
TWGH WONG FUT NAM COLLEGE,836631,821124,CO-ED,KOWLOON CITY
PLK WU CHUNG COLLEGE,841460,830737,CO-ED,SHA TIN
HO KOON NATURE EDU CUM ASTRONOMICAL CTR,829178,827164,CO-ED,TSUEN WAN
HOLY TRINITY COLLEGE,835401,821481,GIRLS,SHAM SHUI PO
CUHKFAA THOMAS CHEUNG SECONDARY SCHOOL,817844,835354,CO-ED,YUEN LONG
HEEP YUNN SCHOOL,837175,820261,GIRLS,KOWLOON CITY
