ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
TACK CHING GIRLS' SECONDARY SCHOOL,833447,821416,GIRLS,SHAM SHUI PO
HKTA THE YUEN YUEN INT NO.1 SEC SCH,832259,825259,CO-ED,KWAI TSING
JOCKEY CLUB TI-I COLLEGE,838447,828116,CO-ED,SHA TIN
SHATIN PUI YING COLLEGE,838077,827780,CO-ED,SHA TIN
CCC MONG MAN WAI COLLEGE,841788,819676,CO-ED,KWUN TONG
CUHKFAA CHAN CHUN HA SECONDARY SCHOOL,841381,831565,CO-ED,SHA TIN
SACRED HEART CANOSSIAN COLLEGE,832304,813181,GIRLS,SOUTHERN
MA ON SHAN TSUNG TSIN SECONDARY SCHOOL,840959,829606,CO-ED,SHA TIN
YUEN LONG MERCHANTS ASSOCIATION SEC SCH,820549,833805,CO-ED,YUEN LONG
CONFUCIAN HO KWOK PUI CHUN COLLEGE,836186,835111,CO-ED,TAI PO
SHENG KUNG HUI ST BENEDICT'S SCHOOL,839271,821804,CO-ED,WONG TAI SIN
YCH LAN CHI PAT MEMORIAL SECONDARY SCH,844274,820614,CO-ED,SAI KUNG
NING PO COLLEGE,840934,819733,CO-ED,KWUN TONG
BAPTIST WING LUNG SECONDARY SCHOOL,815096,828861,CO-ED,TUEN MUN
HONG KONG SEA SCHOOL,840167.7,808850,BOYS,SOUTHERN
LINGNAN DR CHUNG WING KWONG MEM SEC SCH,831196,823762,CO-ED,KWAI TSING
CCC HOH FUK TONG COLLEGE,815822,828556,CO-ED,TUEN MUN
LING LIANG CHURCH E WUN SEC SCH,812337,816849,CO-ED,ISLANDS
ST STEPHEN'S CHURCH COLLEGE,832284,816255,CO-ED,CENTRAL AND WESTERN
PLK CENTENARY LI SHIU CHUNG MEM COLL,814909,829405,CO-ED,TUEN MUN
ST PAUL'S SECONDARY SCHOOL,837079,814849,GIRLS,WAN CHAI
LAI CHACK MIDDLE SCHOOL,835385,818062,CO-ED,YAU TSIM MONG
CCC ROTARY SECONDARY SCHOOL,837478,822509,CO-ED,WONG TAI SIN
HONG KONG TANG KING PO COLLEGE,835707,815009,BOYS,WAN CHAI
SKH HOLY TRINITY CHURCH SECONDARY SCHOOL,836577,819074,CO-ED,KOWLOON CITY
PENTECOSTAL LAM HON KWONG SCHOOL,838893,827270,CO-ED,SHA TIN
COGNITIO COLLEGE (KOWLOON),838426,821675,CO-ED,WONG TAI SIN
LUI CHEUNG KWONG LUTHERAN COLLEGE,815791,827651,CO-ED,TUEN MUN
PLK YAO LING SUN COLLEGE,830769,826078,CO-ED,TSUEN WAN
HONG KONG TRUE LIGHT COLLEGE,834342,811549,GIRLS,SOUTHERN
ST JOAN OF ARC SECONDARY SCHOOL,838577.5,815961.5,BOYS,EASTERN
CARITAS CHONG YUET MING SEC SCH,831985,812687,CO-ED,SOUTHERN
CARITAS CHAI WAN MARDEN FDN SEC SCH,843148,813981,CO-ED,EASTERN
LINGNAN SECONDARY SCHOOL,842673,815643,CO-ED,EASTERN
SALVATION ARMY WILLIAM BOOTH SEC SCH,839238,823094,CO-ED,WONG TAI SIN
HK SKH BISHOP HALL SECONDARY SCHOOL,842120,819486,BOYS,KWUN TONG
LEE KAU YAN MEMORIAL SCHOOL,838109,821432,CO-ED,WONG TAI SIN
CHI LIN BUDDHIST SECONDARY SCHOOL,839311,822357,CO-ED,WONG TAI SIN
IMMACULATE HEART OF MARY COLLEGE,837814,826284,CO-ED,SHA TIN
CHOI HUNG ESTATE CATHOLIC SEC SCH,839383,821800,BOYS,WONG TAI SIN
KWUN TONG MARYKNOLL COLLEGE,841553.9,819955.8,BOYS,KWUN TONG
BUDDHIST SUM HEUNG LAM MEMORIAL COLLEGE,814828,829370,CO-ED,TUEN MUN
HKTA THE YUEN YUEN INT NO 3 SEC SCH,844506,819211,CO-ED,SAI KUNG
SHI HUI WEN SECONDARY SCHOOL,814908,829495,CO-ED,TUEN MUN
YU CHUN KEUNG MEMORIAL COLLEGE,836447,819959,BOYS,KOWLOON CITY
ELCHK YL LUTHERAN SECONDARY SCHOOL,818468,834717,CO-ED,YUEN LONG
STFA SEAWARD WOO COLLEGE,836839,820388,CO-ED,KOWLOON CITY
CHENG CHEK CHEE SEC SCH OF SK&HH DIST NT,844551,822710,CO-ED,SAI KUNG
"WAH YAN COLLEGE, HONG KONG",836221,815051,BOYS,WAN CHAI
DMHC SIU MING CATHOLIC SEC SCH,831287,825131,GIRLS,KWAI TSING
PLK MA KAM MING COLLEGE,832617,838016,CO-ED,NORTH
ST ROSE OF LIMA'S COLLEGE,839074,826828,GIRLS,SHA TIN
GERTRUDE SIMON LUTHERAN COLLEGE,820072,833479,CO-ED,YUEN LONG
CARMEL ALISON LAM FOUNDATION SEC SCH,831823,823523,CO-ED,KWAI TSING
CARMEL BUNNAN TONG MEMORIAL SEC SCH,814435,826304,CO-ED,TUEN MUN
KAU YAN COLLEGE,836245,835145,CO-ED,TAI PO
TWGH CHANG MING THIEN COLLEGE,835456,822176,CO-ED,SHAM SHUI PO
